method	taxid
cmsearch_rfamlit1_mid	1310556
cmsearch_rfamlit1_mid	1310557
cmsearch_rfamlit1_mid	1310558
cmsearch_rfamlit1_mid	1310559
cmsearch_rfamlit1_mid	1310560
cmsearch_rfamlit1_mid	1310561
cmsearch_rfamlit1_mid	1310562
cmsearch_rfamlit1_mid	1310567
cmsearch_rfamlit1_mid	1310568
cmsearch_rfamlit1_mid	1310569
cmsearch_rfamlit1_mid	1310570
cmsearch_rfamlit1_mid	1310573
cmsearch_rfamlit1_mid	1310574
cmsearch_rfamlit1_mid	1310577
cmsearch_rfamlit1_mid	1310578
cmsearch_rfamlit1_mid	1310579
cmsearch_rfamlit1_mid	1310581
cmsearch_rfamlit1_mid	1310582
cmsearch_rfamlit1_mid	1310583
cmsearch_rfamlit1_mid	1310584
cmsearch_rfamlit1_mid	1310585
cmsearch_rfamlit1_mid	1310586
cmsearch_rfamlit1_mid	1310587
cmsearch_rfamlit1_mid	1310589
cmsearch_rfamlit1_mid	1310593
cmsearch_rfamlit1_mid	1310594
cmsearch_rfamlit1_mid	1310597
cmsearch_rfamlit1_mid	1310600
cmsearch_rfamlit1_mid	1310602
cmsearch_rfamlit1_mid	1310610
cmsearch_rfamlit1_mid	1310614
cmsearch_rfamlit1_mid	1310616
cmsearch_rfamlit1_mid	1310617
cmsearch_rfamlit1_mid	1310620
cmsearch_rfamlit1_mid	1310627
cmsearch_rfamlit1_mid	1310644
cmsearch_rfamlit1_mid	1310646
cmsearch_rfamlit1_mid	1310649
cmsearch_rfamlit1_mid	1310650
cmsearch_rfamlit1_mid	1310654
cmsearch_rfamlit1_mid	1310655
cmsearch_rfamlit1_mid	1310656
cmsearch_rfamlit1_mid	1310666
cmsearch_rfamlit1_mid	1310672
cmsearch_rfamlit1_mid	1310675
cmsearch_rfamlit1_mid	1310679
cmsearch_rfamlit1_mid	1310698
cmsearch_rfamlit1_mid	1310699
cmsearch_rfamlit1_mid	1310703
cmsearch_rfamlit1_mid	1310708
cmsearch_rfamlit1_mid	1310712
cmsearch_rfamlit1_mid	1310713
cmsearch_rfamlit1_mid	1310716
cmsearch_rfamlit1_mid	1310718
cmsearch_rfamlit1_mid	1310722
cmsearch_rfamlit1_mid	1310727
cmsearch_rfamlit1_mid	1310729
cmsearch_rfamlit1_mid	1310730
cmsearch_rfamlit1_mid	1310731
cmsearch_rfamlit1_mid	1310732
cmsearch_rfamlit1_mid	1310735
cmsearch_rfamlit1_mid	1310738
cmsearch_rfamlit1_mid	1310739
cmsearch_rfamlit1_mid	1310741
cmsearch_rfamlit1_mid	1310743
cmsearch_rfamlit1_mid	1310746
cmsearch_rfamlit1_mid	1310747
cmsearch_rfamlit1_mid	1310751
cmsearch_rfamlit1_mid	1310753
cmsearch_rfamlit1_mid	1310754
cmsearch_rfamlit1_mid	1310755
cmsearch_rfamlit1_mid	1310757
cmsearch_rfamlit1_mid	1310758
cmsearch_rfamlit1_mid	1310763
